16 77
--, --, 🪞, 🠕 , --, --, 🪞, --, --, --, 🠕 , --, --, --, --, 🪞, --, --, --, --, --, 🠖, --, 🪞, 🠗 , --, --, 🠔, 💀, 🪞, --, --, --, 🪞, --, 🠗 , --, --, 🠕 , --, 🪞, --, --, --, 🠗 , --, --, 💀, --, 🠖, --, 💀, --, 🠔, --, 🠕 , 🠗 , --, --, --, 🍬, --, --, --, --, --, --, --, 🠕 , --, 💀, --, --, --, --, 🠔, --, 🍬, 🪞, --, --, --, 🠗 , --, --, 🠖, 🪞, 🠖, --, 🠗 , --, 🠖, 🠕 , --, --, 🠖, --, --, --, 🠖
--, --, --, --, --, 💀, --, 🠖, --, 🪞, --, --, 🠔, --, 🍄, --, --, --, 🍬, 🍬, 🠔, --, --, 🍄, --, --, --, 🍬, --, 💀, 🠔, 🍬, 🠖, 🠕 , 🠗 , --, 🪞, --, --, --, --, --, --, --, 🠕 , 💀, --, --, --, --, 🪞, --, --, 🠗 , 🪞, 💀, 🠗 , 🠗 , --, --, 🍄, --, 💀, --, --, 🠕 , 🠔, 💀, --, 🍄, --, --, --, 🠗 , --, 🪞, --, 🠕 , --, 🠖, --, --, 🍬, --, 🠗 , --, --, --, 🍄, --, --, 🠗 , 🠖, --, --, --, --, --, 🍄, 🍄
--, --, --, --, 🠕 , --, --, --, --, 💀, --, 🠕 , 🠕 , --, 🠖, --, --, 🠗 , --, --, --, 🪞, 🪞, 🍄, --, --, --, 🠖, --, --, 🠔, --, --, --, --, --, 💀, --, 🠗 , --, --, 🪞, 🠕 , 🠔, 🠖, --, --, 🍄, --, --, --, 🍬, 🠗 , 🪞, --, --, 🠔, 🍬, 🠗 , --, 💀, --, --, 🍬, 🪞, --, --, --, --, --, 🍄, --, 🠖, 💀, --, --, --, --, --, 🍄, --, 💀, 🠔, --, 🠕 , 🪞, --, --, --, 🠔, 💀, 🍄, --, 🪞, --, --, --, --, 🠗 , --
--, 🠖, --, --, 🪞, --, --, 🍬, --, 🍄, --, 🠗 , --, --, --, --, --, 💀, 🍬, --, --, 🠕 , 🪞, --, 🪞, --, 🠗 , 🠔, 💀, 🍄, --, 🠕 , --, --, --, --, --, 🠗 , --, 🠕 , 🠔, 🠖, --, --, --, --, 🠕 , --, --, --, --, --, --, --, --, --, --, 🪞, --, --, --, --, 🍬, --, 🪞, --, --, 🠔, --, --, --, --, --, --, --, --, 🠗 , 🪞, --, --, --, --, 🪞, --, --, --, --, 🠖, --, --, --, 🠗 , --, --, 🍬, --, --, --, --, --
--, --, --, --, --, --, --, --, 🪞, 🠕 , 🍄, 🍬, 🠔, --, --, 🠖, --, --, 🍬, --, --, --, 🍬, 🍄, --, --, 🍬, 🠔, --, --, 🠔, 🍬, --, --, 🠔, 🠗 , --, --, 🠗 , --, --, --, --, 🠔, 🠔, 🠕 , --, --, --, --, 💀, --, 🪞, 🍄, --, --, 🠕 , 🍄, --, 🠕 , --, --, 🍬, --, 🠕 , --, --, --, --, --, --, 🠕 , 🪞, 🠖, 🍬, 🠗 , --, --, 🪞, 🠖, --, --, --, --, 🍬, --, 🍄, --, --, --, --, --, --, --, --, --, 🠕 , --, --, 🍄
💀, --, --, --, --, --, --, --, --, --, --, 🍄, --, 🠔, --, 🪞, --, --, --, 🍄, --, 🍄, --, 🠕 , 🍬, --, 🠔, 🍬, 🍬, --, 🪞, --, 🠖, --, 💀, 🍬, --, 🠗 , --, --, --, 🍬, 🠗 , --, --, --, --, 🠖, 🠖, --, 🍄, --, --, --, 🠔, 💀, --, --, 🠖, --, --, --, --, --, --, --, --, --, --, --, 🠔, --, 🠖, --, --, 💀, --, --, --, --, --, --, 🍄, --, --, --, --, --, --, 🠖, --, --, 🠖, 🍬, --, 💀, 🍬, 🠗 , 🍬, 🠗 
💀, --, 🠗 , 🠔, --, --, 💀, --, --, --, --, 🠗 , --, --, --, 🍄, --, --, 🠔, --, --, --, 🪞, 🠗 , 🠖, --, --, --, 🍬, 🠗 , --, --, 🠔, --, --, --, 🪞, 🠗 , 🠔, --, 🍄, 💀, 🠕 , --, --, --, --, --, --, --, --, 🠖, --, --, --, --, 🪞, --, --, 🠖, --, --, --, --, --, 🍄, --, 💀, 🠖, --, --, --, --, 💀, --, 🠕 , 🠕 , --, --, 💀, 🍬, --, --, --, 🪞, --, --, 🍬, 🍬, 🠗 , 🍄, --, 🍄, --, --, 🍄, 🠕 , --, --, --
--, --, --, --, --, --, 🠕 , --, 🍬, --, --, 💀, --, 🍄, 🪞, 💀, --, --, --, --, 🠖, --, --, --, --, --, --, 💀, --, --, 🠔, 💀, --, --, 🪞, --, --, --, --, --, 🪞, --, 🍬, --, --, 🠗 , --, --, 🍬, 💀, --, 🍬, --, --, --, --, --, 🪞, 🪞, --, --, 🠖, --, --, --, --, --, --, --, --, --, 🪞, --, --, --, 🍄, --, --, 🠖, 🠗 , --, --, 🠔, --, 💀, --, --, --, 🍄, 🠖, --, --, --, --, --, --, 🠖, --, --, 💀
🠔, --, --, 🠔, --, --, 🍄, --, 🠗 , --, --, --, --, 🠔, --, 🪞, --, --, 🍬, 💀, --, 🍬, --, --, --, 🍬, 🪞, 🪞, --, 💀, --, --, --, --, --, --, 🍬, --, --, --, --, 🠕 , 🍬, --, --, --, --, --, --, --, --, --, --, --, 🪞, 🍄, 🠕 , 🠕 , --, --, 🠖, --, --, 🠔, --, 🠗 , --, --, 🠔, 🍄, 🪞, --, 🪞, --, --, 🠗 , 🠔, --, 💀, 🠔, --, --, 🪞, 💀, --, 🠗 , --, 🍬, --, --, 🪞, 💀, 🍬, 🠔, --, --, --, --, --, 💀
🪞, 🍄, 🠗 , --, --, --, --, --, 🍬, 🍬, 💀, --, --, --, 🠕 , 🍬, --, --, --, 🠖, 🍬, --, 🠗 , --, --, --, --, 🍄, 🪞, --, 🪞, 🠗 , --, 💀, 🠔, 🍄, --, 🠕 , --, --, 🠖, --, --, --, --, 🠖, --, --, --, 🠗 , 🠔, 🍬, --, --, 💀, --, --, --, --, --, --, --, --, --, --, --, --, --, --, 🪞, --, 🍄, 🠕 , --, 🍬, --, --, 🍄, 🠗 , --, --, --, 🍄, --, --, --, --, --, 🍬, 🠖, --, 🠖, --, --, 🠖, --, --, --, --, 🠕 
🠖, --, --, --, 🠗 , --, 🍄, 🠗 , 🍄, --, 🍄, --, --, 🪞, 🪞, --, --, 💀, --, 🏁, 🠖, 🠖, 💀, --, 💀, --, 🠔, 🠗 , 🠕 , --, --, --, --, --, 🠕 , 🠔, --, --, --, --, --, 🠖, 🠖, 🍬, --, 🠔, --, 🍄, 🍬, 🠔, 🠖, --, 🠔, --, 🠔, 🍬, 🍄, 🠔, --, --, --, --, --, 🍬, 🠕 , 🠗 , --, 💀, --, --, 🠕 , --, 💀, --, 🪞, --, --, --, --, --, 🪞, 🠕 , 💀, --, 🪞, --, --, --, 🠕 , --, --, --, --, 🍄, --, 💀, --, --, --, --
--, 🠗 , --, --, 🍄, 🠖, 🠗 , --, 🪞, 🠔, 🠔, 🠗 , 🠕 , --, 🠕 , 🠕 , --, --, --, 🠕 , 💀, --, 🠕 , --, --, 🍬, 💀, 🠕 , --, --, --, --, --, 🍬, --, 💀, --, --, 🍄, 🠗 , --, --, 🍄, 🠖, --, --, --, --, --, --, --, 🍄, --, --, --, 🠖, --, --, --, 🠕 , --, 🍄, 🍄, --, 🪞, --, 🠔, 🪞, 🪞, --, --, --, 🠔, --, --, 🠖, --, --, --, --, --, --, --, --, --, 🠗 , --, 🪞, --, --, --, 🍬, --, 🠖, 🠖, 🍄, --, --, --, --
🠔, --, 🠖, --, 🠔, --, --, 🠗 , 🍄, --, 💀, --, --, --, 🍬, --, --, 🪞, --, 🪞, --, --, --, --, --, --, 🍬, 🍬, --, --, --, 🍄, --, 🠖, --, --, 🍄, --, --, --, --, --, 💀, --, --, --, --, 💀, --, --, --, --, 🪞, 🪞, --, --, --, --, --, --, 💀, 🠖, 🠗 , 💀, --, --, 🠖, --, --, --, 🍬, --, 💀, 💀, --, --, --, 🪞, 💀, 🠖, 💀, --, --, 🍄, 🠔, --, --, --, --, --, 💀, 🠗 , --, 🪞, --, --, --, 🠖, 🍬, --
🪞, --, --, --, --, 🠔, --, 🍬, --, 🠖, 🠕 , --, --, 🠔, --, --, --, --, --, --, 🍄, --, 🍬, --, 🠗 , --, --, --, --, --, --, --, --, 🍄, 💀, --, 🍄, 🠕 , --, 💀, --, 🠖, --, --, --, --, 🠔, 🠖, 🪞, --, --, --, --, --, --, --, 🠕 , --, 🪞, --, --, --, --, --, --, --, 💀, 🠖, 🍄, 🍄, 🍬, --, --, --, --, 🠔, --, --, 🍄, --, --, --, 🪞, --, --, --, --, --, --, 🠖, --, 🪞, --, --, 🪞, --, --, 🠖, --, --
--, --, --, 🍄, --, --, --, 🠔, --, --, --, --, 🠕 , 🠔, --, --, 🍄, 🍬, 🍄, --, --, 🍬, 🪞, 🠖, --, --, 🍬, 🍄, --, 💀, --, 🠕 , --, 🠗 , 🠗 , --, 🪞, --, --, --, --, --, --, --, 🠕 , --, 💀, --, 🠗 , --, --, --, --, --, --, --, --, 💀, 🠕 , --, 🠗 , 🍄, 💀, 🠖, 💀, 🠔, --, --, --, 🠖, --, --, 🍄, 💀, 🍬, --, 🪞, 🠗 , --, --, --, 🠖, --, 🠖, --, --, 💀, 🠖, --, 💀, 💀, --, 🠕 , --, --, --, --, 🪞, 🠗 , --
🠖, --, 🠔, 🠖, 🠔, 🪞, --, --, 💀, --, 🠕 , --, --, --, 🪞, --, --, 🠗 , 🠖, --, 🪞, --, 💀, 🍄, --, --, --, --, --, 🠗 , --, 🠗 , --, --, --, --, 🪞, --, --, 🍄, 🠕 , --, --, --, --, --, --, --, 🠗 , --, --, 💀, 🠖, 🠗 , 💀, 🠗 , --, 🠖, --, 🍬, --, 🠖, 🍄, --, --, 🍬, --, --, 🠕 , --, --, --, --, --, 💀, --, 🠖, 🍬, 🠕 , 🠕 , 🍬, 🍄, --, --, --, --, --, 🪞, 🪞, --, 🠗 , --, --, 🠕 , --, --, --, --, --, --
--, --, --, 🠗 , --, --, --, --, --, --, 🠔, --, --, --, --, --, 🪞, --, --, --, 🠗 , --, --, 🠕 , --, --, --, 💀, 🍬, --, 🠔, --, 💀, 💀, 🠖, --, 🠖, --, --, --, --, --, 🍄, 🠔, --, 🍄, --, --, 🠗 , 🠗 , --, --, 💀, 🍄, 🍄, --, 💀, --, 🪞, --, 🠔, --, 🍬, 🠕 , --, --, 💀, 🠗 , --, --, 💀, --, --, --, --, --, 🍄, --, --, 🠗 , --, --, --, --, 🠔, --, --, --, 🠗 , 🠖, --, --, --, --, --, 🠗 , --, 💀, 🠕 , --
🍄, 🠕 , --, --, --, --, 🪞, --, --, --, 🠔, 🍬, --, 🍬, 🍄, --, 🠔, 🠖, --, 🠗 , 🠖, --, --, 🠕 , --, --, --, --, --, 🠖, 🪞, --, 🍄, --, 🠗 , --, --, --, 💀, --, 🠖, 🪞, --, 🠔, --, --, --, 🍄, --, 🍄, --, --, --, 🍬, 🠔, --, 🠔, --, --, --, 🍄, --, 🪞, 🠕 , --, --, --, --, --, --, 🠗 , --, 🠔, 🍄, --, 🪞, --, 🠖, --, --, --, 🍬, --, 🪞, --, --, 🪞, --, --, 🠗 , --, 🠔, 🠗 , --, --, 🍄, 🠗 , 🠗 , --, --
🠖, --, 🪞, 🠔, 🠖, --, --, --, --, --, --, --, --, --, --, --, --, 🍄, --, --, 🍄, --, 🪞, --, 🍬, 🪞, --, --, 🠗 , 🍬, 🠔, --, --, --, --, 🠖, --, --, --, --, 🍄, 🍄, 🠗 , 🠖, 🠖, --, 🠕 , 🍬, 🍬, --, 🪞, 🪞, --, 💀, --, --, 🠖, 🠖, --, --, --, 🠔, --, 💀, --, --, 🠕 , --, 🠕 , --, 🠖, 💀, --, --, 🠖, 🠗 , --, --, 💀, --, 🠕 , 🠗 , 🠗 , --, --, --, --, 🍬, 🠗 , --, --, 🍄, --, 🠗 , 🍄, --, --, 💀, --, 🠕 
--, --, --, --, 🠔, --, 🍬, 🠗 , --, 🠖, --, --, --, --, --, 🍄, --, 🪞, --, 🪞, --, 🠕 , --, --, --, --, --, --, --, 🠔, 💀, --, --, 🠔, --, --, 🪞, 🠗 , --, --, --, 🪞, 🪞, --, 🠖, 🠗 , --, 💀, 💀, --, --, --, --, --, --, --, 🠖, 🪞, --, 🍬, --, 🪞, --, 🠕 , --, 🍄, 💀, 🍬, --, --, --, --, --, --, --, 💀, --, --, --, --, --, --, --, 🠖, 🠔, --, 🍄, --, 🍬, --, --, 🍬, --, --, --, --, 💀, 🠔, 🠖, 💀
--, --, 🠗 , --, 🠔, --, --, --, 🠔, --, --, 🠔, --, --, 🠖, --, --, --, --, --, 🍄, --, 🠗 , 🍄, 🍄, 🠔, --, --, 🍬, --, --, --, --, --, --, --, --, --, --, 💀, 🠗 , --, 🍬, 🪞, --, 🪞, --, --, 🠖, --, --, --, --, --, --, --, 🍬, --, 🠖, --, --, --, 🠔, --, --, --, --, 🠗 , 🠗 , --, 🪞, 🠖, --, --, --, --, --, 💀, --, 🠔, --, 🠕 , 🠕 , --, --, 🍬, --, --, --, --, --, 🪞, --, --, --, --, 🠔, 🍄, --, --
--, 🠕 , --, --, 🠕 , 🠔, --, 💀, --, --, --, --, --, --, --, --, --, --, --, 💀, --, --, --, --, 🍄, --, 🠗 , --, --, --, 🪞, 💀, 🠔, 🪞, --, 🠖, --, --, --, --, 🍄, --, --, --, 🠕 , 🠔, --, 🪞, --, --, --, --, 🪞, --, --, 🠔, --, --, --, 🍄, --, --, 💀, --, --, 🠔, --, --, --, --, 🠔, 🠕 , --, --, 🠗 , 🠗 , 💀, --, 🍬, 🠗 , 💀, --, --, --, --, 🠖, 🠖, --, 🠕 , 🠕 , --, 🠖, --, --, 🪞, 🠗 , --, 🍄, --, --
--, 🪞, 🠖, --, --, --, --, --, --, --, --, 🠔, --, --, --, 🠕 , 🠖, 🍬, --, 🍄, --, --, --, 🍄, --, 🪞, --, 🍬, 🠔, 🠕 , 💀, --, --, 💀, 🪞, --, --, --, --, --, 🠖, --, 🍄, 🍬, --, --, 🠖, --, --, 🠔, 🠖, --, --, --, --, --, 🠖, --, --, 🠗 , 🠗 , 🠔, --, --, --, --, 🠔, --, --, 🍄, 🍄, 🍬, --, --, --, 🪞, --, 🍬, --, --, --, --, 🠔, --, --, --, --, 💀, 🪞, 🍬, 🠗 , --, --, --, --, --, --, --, 🍄, --
--, --, 🠔, 🠖, --, 🠖, --, 🪞, 🠕 , --, 💀, 🪞, --, --, --, 🍄, 💀, --, --, --, --, --, --, --, --, --, 🠕 , --, --, 🠖, 🍬, --, --, --, --, 🪞, 💀, --, 🍬, 🍬, 💀, --, 🠔, --, --, --, 🪞, 🠔, --, --, 🍬, --, --, --, 🠔, --, --, --, --, 🪞, 💀, 🍬, 💀, 🠔, 🠕 , --, --, --, --, --, 🍬, 🠕 , --, --, --, --, 💀, --, --, 🠖, 🍬, 🍬, 🠕 , --, 🠔, 🠔, --, --, --, --, --, 🠕 , --, --, 🠕 , 🠕 , --, --, --, --
🠕 , 🠔, --, --, --, --, --, --, 🠗 , --, --, --, 🍄, --, --, --, --, --, 🍄, 🪞, --, --, --, 🠔, 🠕 , --, --, 🍬, 🍬, --, --, --, 🠖, 🍄, --, --, 🍬, --, 🠕 , --, 🍬, --, --, --, --, 🪞, 💀, 🠔, --, --, --, --, --, --, 🍄, --, 🠗 , --, --, 🍬, 🍄, --, --, --, --, 🠔, --, --, 🪞, --, --, --, --, --, --, --, 🍄, 🠔, --, 🍬, 🪞, --, --, --, --, --, 🠗 , --, --, --, 🠗 , --, 🍬, --, 🠗 , --, --, 🠔, 🠔, --
🠔, 🠖, 🠔, 🠕 , --, --, 🠕 , 🠔, 💀, --, 🠔, --, --, 🠔, --, 🠔, 🍬, 🍄, 🍬, --, 🍄, --, 🪞, --, --, 🪞, 🠗 , --, 💀, 🠕 , 💀, --, --, --, 🠗 , 💀, 🠗 , 🠔, --, --, --, --, 🍬, --, --, --, --, 🍄, --, --, 🠔, 🍬, --, 🠔, --, 🍬, --, --, --, --, 🪞, --, 🪞, --, --, --, 🍄, 💀, 🠗 , 🠖, 🠔, --, --, 🠕 , 🠗 , 🠗 , 🍄, --, --, 🍬, --, --, --, --, --, 🍄, 🠖, 🠕 , 💀, 🪞, --, --, --, --, --, --, 🍬, --, 🠖, 🪞
🠖, 🍬, --, --, --, --, 🍄, --, --, 🍬, --, 🠖, 🪞, 🪞, --, --, --, 🠖, --, 🠖, --, --, --, --, --, --, --, --, 🠖, --, --, 🍄, --, --, --, --, --, --, --, --, 🠖, 🪞, 🠖, 🍄, --, --, 💀, 🠖, 🠕 , --, --, 🠕 , 🠕 , 🍬, --, 🍬, --, --, --, 🍬, --, 💀, 💀, 🠗 , 🍬, 💀, --, --, --, --, 🠕 , 🠕 , --, 🠔, --, --, 🪞, --, 🍬, --, --, --, 🠗 , --, --, 🍬, 🠔, 🪞, --, --, --, --, 🠕 , 🠖, --, --, --, --, 🍄, 🍄
--, --, --, --, 💀, --, --, --, --, --, --, --, --, 🠗 , 🍬, 💀, --, --, --, --, --, 🠖, 🪞, 🍄, --, --, --, 🠔, --, --, --, 🠕 , 🠔, --, --, 🠔, --, --, --, --, 🠗 , 🠔, --, --, 🍬, --, 🍄, --, 🠖, --, 🠔, 🪞, 🠕 , --, 🠗 , 🠕 , --, 💀, --, 🠔, --, --, --, 🠕 , --, --, 🠔, --, --, --, 💀, 🍄, 🠔, --, 🠖, 💀, --, 🠗 , --, --, 🍬, --, 🠕 , --, --, 💀, --, 💀, --, --, --, 🠕 , --, --, --, 💀, 🠗 , --, 💀, 🠔
🍬, --, 🍬, 🍄, 🪞, --, 🠔, --, 🪞, --, 🠖, --, --, 🍄, --, --, --, --, --, --, --, --, --, 💀, --, --, --, --, --, --, 🠕 , 🍄, --, 🠕 , 🠖, --, --, 🍬, --, --, --, --, --, --, 💀, 🠗 , 🠖, --, --, 🠔, --, --, 🍬, --, 🠔, --, 🍄, --, 🠔, --, --, --, --, 🠖, 🠖, --, 🍄, --, 🠗 , 🠖, --, 🠗 , 🠕 , 💀, 🪞, --, --, 🍬, 🍬, --, --, --, --, --, --, 🍬, 🠖, --, 🠗 , 🠕 , 🍄, --, 🠕 , --, --, --, 🠖, --, 🠗 , --
🍬, --, --, 🠗 , 🠕 , 🍄, --, 🠗 , --, 🍄, --, --, --, --, --, 🍬, 💀, 🠗 , --, --, --, 🠖, --, 🍄, --, 🪞, 🠕 , 🠖, 🠗 , --, --, 🍄, --, --, --, --, --, 🠕 , --, --, --, 🠔, --, --, --, --, --, --, --, 🍄, --, 💀, 🠖, --, 🍄, 💀, --, --, --, 🠗 , --, --, 💀, --, --, --, 💀, --, --, 🠖, --, --, 🪞, 🠔, --, --, --, --, 🪞, 🪞, --, --, --, --, 🍄, 🠗 , 🍬, --, --, 🠔, --, 🠖, 🠔, 🠕 , 🠗 , --, --, 🠗 , --, 🠕 
🍬, 🠗 , 🠕 , --, 🍬, --, --, --, 🪞, --, --, --, --, --, --, --, --, --, --, 💀, 🠔, --, 🠗 , --, 🪞, --, 🍄, 🪞, --, 🠕 , --, --, --, --, 🍄, 🠔, --, --, 🠖, 🠖, 🍬, 🠕 , --, 🠔, --, 🪞, --, 🠔, --, --, 💀, 🠕 , --, --, --, 🠕 , --, 🍬, --, 🪞, 🪞, 🠖, --, --, --, --, 💀, --, 🪞, --, --, --, --, --, 💀, --, 🠔, --, 🍬, 🠕 , --, 🠕 , 🪞, --, --, --, --, --, 🍄, --, 🍬, 🪞, --, --, 🪞, --, --, 🠔, 🍄, 🠗 
--, 🍬, 🠔, 🠖, --, 🠔, 🍄, --, --, --, --, 🍬, 🠖, --, 💀, --, 🪞, --, --, 🍬, --, 🠕 , 🍄, 🠗 , 🠗 , 🠗 , --, --, --, --, 🠗 , --, --, --, 🠔, --, --, 🍄, 🍄, 🍬, --, 💀, --, --, 🠖, 🍬, 🠖, --, --, --, 🠕 , --, --, 🠔, 🠖, 🪞, 🍄, 🠖, 🠗 , --, --, 🍄, --, --, --, --, 🠗 , 🠔, 🠖, --, --, 🍬, 🠗 , --, 🠖, --, 🠕 , --, --, 🍬, --, --, --, --, --, --, --, --, 🠔, --, --, --, 🠕 , 🪞, --, --, 🍬, --, 🍄, --
--, 🠔, --, 🠔, --, 🠗 , --, 🍄, 🪞, --, 🠕 , 🍬, --, --, 🠕 , --, 🠗 , --, 🠖, --, --, --, 🍬, --, 🠖, --, 🪞, --, --, --, --, --, 🠖, --, 🍄, 💀, --, 🍄, --, 🍄, --, --, 🍄, --, 🍄, --, 🍄, --, --, 🠗 , 🪞, 🠗 , 🠗 , 🠗 , --, --, 🠔, --, 🠔, --, --, --, --, 🠗 , --, 🠕 , --, --, 🪞, 🪞, --, --, --, --, --, --, 🠗 , 🠗 , 🍬, --, --, 💀, 🠔, 💀, 🠔, --, --, 🠗 , --, --, --, 🠔, --, --, --, --, --, --, 🍄, --
🠗 , --, 🠗 , --, 🠕 , --, --, --, 💀, 🠖, --, 🠔, 🠗 , 💀, 🍬, --, --, --, 🪞, 🪞, --, 💀, --, --, --, --, 🠔, --, --, 💀, --, --, 🠖, --, 💀, 🠕 , 🠖, --, 🠕 , 🠕 , --, 🪞, 🠕 , --, 🍄, --, 🍄, 🍬, 🠔, 🠗 , --, --, 🍬, 🍄, 🠗 , --, --, --, --, 🠗 , --, --, --, --, 🠕 , --, --, --, --, --, 💀, --, --, 🍄, 🍄, 🍄, --, --, --, 🍬, 🠔, --, 🪞, 🠔, --, --, --, --, --, --, --, --, --, 🠖, --, 💀, --, --, --, --
🍬, --, --, 🪞, 🍬, 🪞, --, --, --, --, 🠕 , --, 🍬, --, --, --, 💀, --, 💀, --, 🍄, --, --, --, 🠗 , 🠖, --, 🠖, --, --, --, 🠕 , --, --, 🪞, 💀, 🠖, --, --, 🠗 , --, 🠖, --, --, --, --, --, 🠗 , --, 🠔, --, --, 🍄, 🠕 , --, 🍬, --, --, --, --, --, --, --, 🍄, --, 🪞, 🍬, 🠕 , 🠖, --, 🪞, --, 🍬, 🍄, 🠖, --, --, 🠗 , --, 💀, --, --, 🍄, --, --, 🍬, --, --, --, --, --, --, 🠔, --, --, --, --, 💀, 🠔, --
--, 🠔, 🠕 , --, 🠗 , --, --, --, --, 🠖, 🠕 , 🍄, --, --, --, --, --, 🍬, --, --, 🠕 , --, 🠔, --, 🠗 , --, 🪞, 🠖, 🍄, 🠔, 🠕 , --, --, --, --, --, --, --, --, 🠕 , --, --, --, --, --, --, --, --, --, --, --, --, 🠕 , --, --, 🍬, --, --, --, --, --, --, --, --, --, 🪞, --, 🠔, --, 🠗 , 🠕 , 🪞, 🠕 , --, --, --, --, 🍄, 🠔, --, 🍬, --, 🠔, --, --, --, 🠖, --, --, 🠔, --, --, --, --, --, 🍬, --, --, 🪞, --
--, 🍬, 🠔, --, 🠗 , --, 🍬, --, 💀, 🍄, 🠗 , --, 🠔, --, --, --, 🠔, 🍄, 🍄, 🠕 , --, --, 🠗 , 🍬, --, --, --, --, --, 💀, --, 💀, 🠕 , --, 🍬, --, --, 🍬, --, 🠔, --, 🍄, --, 💀, 🠗 , 🠗 , 🍬, --, 🍬, --, 🠖, --, 🠗 , 🍬, --, --, --, --, 🠖, --, 🠕 , 🪞, --, 💀, 🠕 , 🠖, 🍬, --, 🍄, 🪞, --, --, --, --, --, --, --, 💀, --, 💀, 🍬, 💀, --, --, --, --, 🍄, --, --, --, 🠗 , --, 🠔, --, --, 💀, 🠕 , --, 🪞, 🍄
--, 🍬, --, 🪞, --, --, --, --, 🠔, --, --, --, 🠖, 🠖, --, 🠕 , --, --, 🠗 , --, 🠔, --, 🪞, --, 🍬, --, --, --, --, 🍬, --, 🪞, --, --, 🍄, --, 🍄, 🠔, 🪞, --, --, --, --, 🠗 , --, 🍬, --, --, 🠗 , --, 🠖, --, --, --, --, --, --, 🠗 , 🠔, 🍬, 🍬, 🠖, --, --, 🠕 , 🠖, --, --, 🪞, 🪞, 🠗 , 🍄, --, 🠕 , --, --, --, --, --, --, 💀, --, --, --, --, --, --, --, --, 💀, --, --, --, --, 🠔, --, --, --, --, 🠔
--, --, --, --, 🠔, --, 🍬, 🠖, --, --, --, --, --, --, --, --, 🍬, --, 🠔, --, --, --, --, 🪞, --, 🠔, 🠖, --, 💀, --, 🪞, --, --, --, --, 🠗 , --, 🠖, 🍄, --, --, --, --, 💀, 🠖, --, --, 🠗 , --, 💀, --, 🍬, --, --, 🠕 , 💀, --, 🠖, --, --, 🪞, 🠗 , --, 🠕 , --, 🠔, 💀, --, --, --, 🍬, --, --, 🍬, 🍬, 🍬, --, 🪞, 🠔, 🠗 , 🠕 , --, --, 🠕 , --, 💀, 🠗 , 🠕 , 🠖, 💀, --, --, --, 🍄, 🍄, --, --, --, 🠕 , 🠖
🠔, 🪞, 🠗 , --, 🍬, 🠔, 🠔, --, 💀, 🠕 , --, --, --, --, 💀, 🍄, 🠗 , --, --, 🠖, --, --, --, 💀, --, --, --, --, --, --, 🠖, --, --, 🠕 , --, --, --, --, --, --, 🍄, 🍄, --, 🍄, --, 🍬, --, --, 🠕 , --, --, 🍬, --, --, 💀, --, --, --, --, --, --, --, --, --, --, 🠗 , 🠖, --, --, --, 🠗 , --, --, 🠕 , --, --, --, --, 🠔, 🍄, --, --, 💀, --, 🠕 , 🍄, --, 💀, --, --, 💀, --, --, 💀, --, 💀, --, --, 💀, 🠗 
--, --, 🍬, --, 🠔, 🠕 , 🍬, 🍬, 🠕 , --, --, --, 🠔, 🠖, --, --, --, 🪞, 🠗 , --, --, --, 🍄, 🍬, 🠔, --, --, 🠔, --, 🪞, --, 🠖, --, 🠕 , --, 🠖, --, 🍄, --, 🍬, --, 🠔, 🠗 , --, --, 🍄, --, --, --, 🠗 , 💀, 🍄, --, --, --, --, --, --, 🍬, 🍄, --, --, --, 🠕 , 🠕 , --, 🍄, --, --, 🠕 , --, --, 🠖, --, 🠖, --, 🍬, --, --, --, 🠕 , --, --, 🠖, 🠖, --, 🍬, --, --, --, --, --, --, 🠔, --, --, 🠗 , --, 💀, --
🍄, --, 🍄, 🠗 , 🍄, --, --, --, --, 🠔, --, --, --, --, --, --, --, --, 🍄, --, --, --, --, --, --, --, --, --, --, --, --, 🠗 , --, --, --, --, --, --, --, 🠔, --, --, --, --, 🠗 , 🠕 , --, --, --, --, --, --, --, 🠗 , 🠖, --, --, --, --, 🠕 , 🠔, 🠖, 🪞, --, --, 🍄, 🠖, --, 🠕 , 🠗 , --, 🪞, 🠖, --, --, 🍬, 🍄, 🍄, 🠗 , 🠕 , 🠖, 🠔, --, --, --, --, --, --, --, 🍄, --, --, --, --, --, 🠕 , --, --, --, --
🪞, 🠗 , --, --, --, --, --, 🠕 , --, --, --, --, 🠗 , --, --, --, --, --, --, 🠔, --, --, --, --, --, --, --, 🍄, --, 🠔, 🍄, --, 🍄, --, --, --, 🍄, --, --, --, --, --, --, 💀, --, 🠗 , --, --, 🍄, --, --, --, 🍬, 🠗 , --, --, --, 🍬, --, 🪞, --, --, 🍄, --, --, 🠗 , --, --, 🠖, 🠔, 🠗 , 🍬, --, 🍬, --, --, --, 🠗 , --, --, --, 🠖, 🠗 , 💀, --, --, --, 🪞, 🠗 , 🠔, 🠔, 🠗 , --, 💀, 🠔, --, --, --, --, --
